Insurer,Link,1st Time Stamp,,2nd Time Stamp,,3rd Time Stamp,,4th Time Stamp,,5th Time Stamp,,6th Time Stamp,,7th Time Stamp,,8th Time Stamp,,9th Time Stamp,,FRT (First Response Time) (in Hrs),"FRT less than 1 day
(10)","FRT >1 Day <3 days
(5)","FRT more than 3 days
(-10)",Points,Marks,Score Methodology
,,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,,,,,,,
HDFC ERGO General Insurance Company Limited,https://x.com/EquitySaral/status/2046200880819744785,20/04/2026 12:14,20/04/2026 12:35,NA,20/04/2026 14:35,NA,20/04/2026 16:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3431,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/siddhus212/status/2042615659096682814,10/04/2026 14:48,10/04/2026 15:01,11/04/2026 04:30,11/04/2026 02:24,11/04/2026 05:50,14/04/2026 12:42,11/04/2026 09:37,NA,11/04/2026 14:59,NA,11/04/2026 17:57,NA,NA,NA,NA,NA,NA,NA,0.2233,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/nitpawar/status/2044373020010328186,15/04/2026 11:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/madhus1025/status/2043219537739591907,12/04/2026 06:47,12/04/2026 10:51,12/04/2026 17:36,NA,13/04/2026 07:58,NA,13/04/2026 11:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0644,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/santoshkummi/status/2047621166442131518,24/04/2026 10:18,24/04/2026 10:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0583,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ks23cool/status/2039982513100402823,03/04/2026 08:25,03/04/2026 08:28,03/04/2026 10:00,03/04/2026 10:18,04/04/2026 07:36,09/04/2026 18:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0594,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ash1praj2/status/2041559492312416542,07/04/2026 16:51,08/04/2026 13:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6703,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Manoj23_07/status/2044918355988258947,16/04/2026 23:18,17/04/2026 03:07,17/04/2026 04:41,17/04/2026 04:48,17/04/2026 08:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8111,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/TmjIndra/status/2039399739137921197,01/04/2026 17:49,01/04/2026 17:53,01/04/2026 23:03,01/04/2026 21:16,03/04/2026 13:00,03/04/2026 13:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0619,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SrikanthBhandar/status/2046871735736447242,22/04/2026 08:40,22/04/2026 09:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0656,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/balajis98877311/status/2041820523773227393,08/04/2026 10:08,08/04/2026 10:32,NA,08/04/2026 12:48,NA,10/04/2026 07:08,NA,10/04/2026 12:02,NA,10/04/2026 16:16,NA,12/04/2026 03:18,NA,NA,NA,NA,NA,NA,0.3953,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/piyushg693/status/2042550132680667551,10/04/2026 10:27,10/04/2026 10:29,NA,15/04/2026 12:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/CAAshishGupta86/status/2042522936813428946,10/04/2026 08:39,10/04/2026 08:57,10/04/2026 09:08,10/04/2026 09:47,10/04/2026 09:09,15/04/2026 11:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2889,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/pradeepnyr/status/2043339881632723187,12/04/2026 14:46,12/04/2026 14:57,13/04/2026 09:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1822,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/manishburrak/status/2043573627438964891,13/04/2026 06:14,13/04/2026 06:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4208,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/luckylaxa/status/2045490923946324457,18/04/2026 13:13,18/04/2026 14:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8231,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SachinMalu72694/status/2046630901397037408,21/04/2026 16:43,21/04/2026 16:47,NA,21/04/2026 16:56,NA,28/04/2026 13:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0656,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/abhijain1977/status/2048762843659723114,27/04/2026 13:55,27/04/2026 14:03,27/04/2026 14:56,27/04/2026 17:02,27/04/2026 17:22,27/04/2026 17:28,NA,28/04/2026 14:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1492,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ShivamK05642640/status/2044046682451784116,14/04/2026 13:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ViratWannabe/status/2042860569649402030,11/04/2026 07:01,11/04/2026 07:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4997,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/viveksinghania0/status/2047236796069958067,23/04/2026 08:51,23/04/2026 10:27,NA,23/04/2026 12:27,NA,23/04/2026 14:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6069,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/UAdsod/status/2041133671894401359,06/04/2026 12:39,06/04/2026 12:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0517,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/_SagarMohite/status/2043266187195515171,12/04/2026 09:53,12/04/2026 10:15,12/04/2026 16:34,NA,13/04/2026 06:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3667,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/AskNamz/status/2040445900397719992,04/04/2026 15:06,04/04/2026 15:10,04/04/2026 15:09,NA,04/04/2026 16:55,NA,04/04/2026 17:22,NA,04/04/2026 18:01,NA,05/04/2026 01:27,NA,07/04/2026 12:41,NA,NA,NA,NA,NA,0.0689,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ramki_arumugam/status/2046218056779927634,20/04/2026 13:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/AnuragS10207157/status/2048295979439575478,26/04/2026 06:59,26/04/2026 07:11,26/04/2026 07:12,26/04/2026 07:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1978,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SarveshSauravt/status/2041423451777548390,07/04/2026 07:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/murali603/status/2048649370028114262,27/04/2026 06:24,27/04/2026 06:35,27/04/2026 08:52,27/04/2026 08:35,27/04/2026 10:16,27/04/2026 12:19,27/04/2026 10:17,27/04/2026 14:18,27/04/2026 12:17,NA,27/04/2026 16:12,NA,NA,NA,NA,NA,NA,NA,0.1869,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/nitpawar/status/2045081135362044360,17/04/2026 10:05,17/04/2026 10:10,17/04/2026 10:28,24/04/2026 17:44,17/04/2026 17:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0811,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/GauravDwiv51540/status/2049424321219829995,29/04/2026 09:43,29/04/2026 10:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1394,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/RakeshS1168740/status/2045203960366248408,17/04/2026 18:13,17/04/2026 18:15,NA,18/04/2026 05:03,NA,24/04/2026 17:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0411,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ChhitijBajpai/status/2046859854766334460,22/04/2026 07:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/asureshkr/status/2049090156783931661,28/04/2026 11:35,28/04/2026 11:41,28/04/2026 12:03,NA,11/05/2026 05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1019,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
